City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
475,sibut,5.718,19.0739,21.29,97,100,0.74,CF,1699151215
476,darwin,-12.4611,130.8418,35.53,46,20,2.57,AU,1699151216
477,bamboo flat,11.7,92.7167,29.05,84,40,2.57,IN,1699151216
478,kitakata,37.65,139.8667,19.85,67,61,1.24,JP,1699151216
479,ke-macina,13.9623,-5.3572,27.48,12,35,3.69,ML,1699151216
480,paracuru,-3.41,-39.0306,27.84,81,12,3.86,BR,1699151192
481,mil'kovo,55.6078,37.7956,8.27,87,100,8.33,RU,1699151217
482,vila velha,-20.3297,-40.2925,24.97,73,75,4.63,BR,1699151217
483,dakhla,23.6848,-15.958,20.08,85,0,6.36,EH,1699151176
484,ulaangom,49.9811,92.0667,-3.57,70,100,1.6,MN,1699151217
485,antalya,36.7741,30.7178,23.34,85,75,2.06,TR,1699151058
486,xining,36.6167,101.7667,2.89,35,54,1.46,CN,1699151218
487,ta`u,-14.2336,-169.5144,26.64,81,86,11.08,AS,1699151218
488,sekovici,44.2986,18.8528,15.25,67,87,9.23,BA,1699151218
489,broome,42.2506,-75.833,11.46,60,100,0.45,US,1699151219
490,igarka,67.4667,86.5833,-7.03,95,100,6.06,RU,1699151219
491,daru,-9.0763,143.2092,25.47,89,100,6.41,PG,1699151219
492,ciempozuelos,40.1591,-3.621,10.49,87,0,8.75,ES,1699151219
493,toamasina,-18.1667,49.3833,22.0,100,75,4.12,MG,1699151220
494,saint-philippe,-21.3585,55.7679,21.73,88,99,4.03,RE,1699151220
495,constitucion,-35.3333,-72.4167,10.45,89,23,1.09,CL,1699151221
496,capitan bado,-23.2667,-55.5333,12.54,80,0,3.27,PY,1699151221
497,mthatha,-31.5889,28.7844,15.57,96,95,0.65,ZA,1699151222
498,mili,6.0815,171.735,28.23,80,30,7.43,MH,1699151222
